"Source:","C:\Users\PC\OneDrive\Documenten\School\Fontys\Minor\Be creative minor\Git\Audio-DSP\KiCAD\Main board\Main board.kicad_sch"
"Date:","6/8/2023 1:09:46 PM"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","511"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Cable","FPGA connector","LEDs for all VU-meters","Sim.Device","Sim.Pins","Wire housing"
"43","4","R142, R152, R190, R194","2k","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/Bourns/CR0805-FX-2001ELF?qs=sGAEpiMZZMvdGkrng054t%252BRNGJdg958ROajZ6ouhRE4%3D","","","","","","",""
"44","4","R143, R151, R189, R193","3k9","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/Bourns/CR0805-FX-3901ELF?qs=sGAEpiMZZMvdGkrng054t%252BRNGJdg958R%2FWTvjoxzCb0%3D","","","","","","",""
"45","4","R160, R161, R199, R200","24k","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/YAGEO/RC0805JR-0724KL?qs=sGAEpiMZZMvdGkrng054txdMlaQGj9fixvNEN4DCZoA%3D","","","","","","",""
"46","4","R166, R167, R168, R169","270","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/Panasonic/ERA-6AEB271V?qs=sGAEpiMZZMvdGkrng054t5gPF0%2Fa1qF4ZuoTGGYAZHM%3D","","","","","","",""
"47","4","R177, R178, R209, R211","150k","Device:R","Resistor_SMD:R_0805_2012Metric","https://nl.mouser.com/ProductDetail/Panasonic/ERA-6AED154V?qs=sGAEpiMZZMvdGkrng054t%252B2w5OgPkZzP2dhMp6d2WIM%3D","","","","","","",""
"48","8","RN1, RN2, RN3, RN4, RN5, RN6, RN7, RN8","22R","Device:R_Pack04","Resistor_SMD:R_Array_Convex_4x0402","https://nl.mouser.com/ProductDetail/Panasonic/EXB-28V220JX?qs=oE3VwAv%2FYtloe62uHqirww%3D%3D","","","","","","",""
"49","27","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Pad_D2.0mm","~","","","","","","",""
"50","3","U1, U10, U16","PCM1789","Audio_DSP:PCM1789","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","https://eu.mouser.com/ProductDetail/Texas-Instruments/PCM1789TPWRQ1?qs=cBe3DO7yhR4lgqDaXbktkg%3D%3D","","","","","","",""
"51","1","U2","LM4562","Main board-rescue:LM4562-Audio_DSP","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://nl.farnell.com/texas-instruments/lm4562max-nopb/audio-amplifier-55mhz-20v-us-soic/dp/3004534?st=lm4562","","","","","","",""
"52","10","U3, U4, U5, U11, U17, U22, U23, U25, U26, U27","OPA1632DR","Audio-DSP:OPA1632DR","Audio-DSP:VSSOP-8_3.0x3.0mm_P0.65_TP1.8x1.5","https://eu.mouser.com/ProductDetail/Texas-Instruments/OPA1632DGNR?qs=7nS3%252BbEUL6t46Xk02kKOHg%3D%3D","","","","","","",""
"53","5","U6, U24, U30, U32, U33","LM4562","Audio-DSP:LM4562","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm4562.pdf","","","","","","",""
"54","2","U7, U44","PCM1804","Audio_DSP:PCM1804","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","https://nl.mouser.com/ProductDetail/Texas-Instruments/PCM1804DBR?qs=wgAEGBTxy7lnBW3YYZcxMA%3D%3D","","","","","","",""
"55","1","U8","~","Audio_DSP:DE1-SoC","Audio-DSP:DE1-SoC","NA","","","","","","",""
"56","1","U9","SEPIC_-15V_LT3579","Audio_DSP:SEPIC_-15V_LT3579","Audio-DSP:SEPIC_-15V_LT3579","NA","","","","","","",""
"57","2","U12, U13","LIN_REG_±5V","Audio-DSP:LIN_REG_±5V","Audio-DSP:LIN_REG_±xxV","NA","","","","","","",""
"58","2","U14, U15","LIN_REG_±12V","Audio-DSP:LIN_REG_±12V","Audio-DSP:LIN_REG_±xxV","NA","","","","","","",""
"59","2","U18, U28","12V","Audio_DSP:BUCK_12V_MAX17634C","Audio-DSP:BUCK_MAX17634C_xxV","NA","","","","","","",""
"60","1","U19","5V","Audio_DSP:BUCK_5V_MAX17634C","Audio-DSP:BUCK_MAX17634C_xxV","NA","","","","","","",""
"61","1","U20","8V","Audio_DSP:BUCK_8V_MAX17634C","Audio-DSP:BUCK_MAX17634C_xxV","NA","","","","","","",""
"62","1","U21","15V","Audio_DSP:BUCK_15V_MAX17634C","Audio-DSP:BUCK_MAX17634C_xxV","NA","","","","","","",""
"63","2","U29, U31","AP2111H-3.3TRG1","Audio_DSP:AP2111H-3.3TRG1","Package_TO_SOT_SMD:SOT-223","https://nl.mouser.com/ProductDetail/Diodes-Incorporated/AP2111H-3.3TRG1?qs=x6A8l6qLYDCdsdXLicgNOA%3D%3D","","","","","","",""
"64","5","U34, U35, U42, U43, U45","TL072","Audio-DSP:TL072","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://nl.mouser.com/ProductDetail/Texas-Instruments/TL072CDRG4?qs=odmYgEirbwxlqpHKLRytGw%3D%3D","","","","","","",""
"65","4","U36, U37, U40, U41","LM339","Comparator:LM339","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","https://nl.mouser.com/ProductDetail/Texas-Instruments/LM339PWR?qs=xJkDX%2FqrskPOxGrzLPW8oQ%3D%3D","","","","","","",""
"66","1","U38","PGA2311P","Audio_DSP:PGA2311P","Package_DIP:DIP-16_W7.62mm","https://nl.mouser.com/ProductDetail/Texas-Instruments/PGA2311P?qs=68g8TF7PocKrYdd0Nz3HxQ%3D%3D","","","","","","",""
"67","1","U39","TXS0102","Audio-DSP:TXS0102","Package_SO:VSSOP-8_2.4x2.1mm_P0.5mm","https://nl.mouser.com/ProductDetail/Texas-Instruments/TXS0102DCUR?qs=dB0LedT%252BmmBcQ3I%2Fs9XEDA%3D%3D","","","","","","",""
